order_id,user_id,restaurant_id,order_date,total_amount,restaurant_name
33,1761,346,04-07-2023,957.07,Amma Dhaba Non-Veg
34,844,350,15-06-2023,455.96,Classic Curry House South Indian
35,2858,291,15-05-2023,121.81,Annapurna Foods Non-Veg
36,186,113,12-09-2023,140.83,Darbar Biryani Pure Veg
37,952,34,01-02-2023,1198.64,Ruchi Dhaba Multicuisine
38,2972,376,11-01-2023,751.82,Amma Cafe Non-Veg
39,118,170,23-02-2023,596.06,Spice Tiffins Family Restaurant
40,2773,63,25-07-2023,622.5,Ruchi Foods South Indian
41,1071,145,09-01-2023,753.16,Amma Restaurant South Indian
42,2274,121,21-01-2023,955.51,Sri Delights Non-Veg
43,380,256,26-03-2023,850.52,Sri Curry House Andhra
44,633,161,04-12-2023,512.14,Annapurna Biryani South Indian
45,1146,426,13-09-2023,914.87,Royal Foods Non-Veg
46,2294,72,25-12-2023,602.82,Sri Foods Chinese
47,505,69,30-09-2023,929.24,Classic Tiffins Punjabi
48,372,397,30-11-2023,957.14,Amma Foods Family Restaurant
49,2911,234,10-02-2023,183.82,Swagath Kitchen North Indian
50,1673,118,26-09-2023,298.54,Amma Mess Pure Veg
51,1853,381,10-05-2023,893.66,New Delights North Indian
52,799,462,18-08-2023,1423.59,Grand Curry House Family Restaurant
53,638,262,14-12-2023,261.16,Hotel Cafe Punjabi
54,1042,266,06-09-2023,334.11,Annapurna Delights Multicuisine
55,2610,172,08-06-2023,838.38,Darbar Eatery Family Restaurant
56,2560,215,20-10-2023,1499.8,Spice Biryani Punjabi
57,392,273,16-06-2023,852.11,Swagath Delights Andhra
58,606,361,22-02-2023,1281.55,Royal Dhaba Punjabi
59,1785,247,07-11-2023,169.22,Hotel Mess Punjabi
60,1077,373,10-04-2023,544.55,Sai Delights Chinese
61,1753,130,30-08-2023,1134.71,Royal Restaurant South Indian
62,723,165,24-11-2023,722.78,Udupi Kitchen Chinese
63,205,339,27-07-2023,1107.3,Annapurna Eatery South Indian
64,1565,189,09-03-2023,625.41,Hotel Curry House Non-Veg
65,2905,220,07-04-2023,881.86,Spice Kitchen North Indian
66,340,70,12-08-2023,1356.31,Swagath Delights Punjabi
67,2716,233,07-08-2023,781.02,Grand Cafe Family Restaurant
68,850,292,19-04-2023,165.97,Amma Cafe North Indian
69,929,162,10-07-2023,1377.54,New Foods Multicuisine
70,179,463,23-09-2023,890.18,Hotel Delights Chinese
71,773,256,18-05-2023,1401.97,Sri Curry House Andhra
72,204,413,28-11-2023,575.36,Sai Curry House Punjabi
73,1725,80,19-04-2023,765.76,Spice Mess Chinese
74,1284,229,01-12-2023,1223.01,Ruchi Mess Family Restaurant
75,849,444,22-08-2023,700.31,Classic Cafe Family Restaurant
76,1565,233,28-08-2023,1117.61,Grand Cafe Family Restaurant
77,1632,80,22-10-2023,851.28,Spice Mess Chinese
78,2286,432,24-12-2023,271.81,Hotel Eatery Pure Veg
79,1396,242,09-03-2023,1052.51,Classic Dhaba Punjabi
80,1965,291,23-02-2023,1323.7,Annapurna Foods Non-Veg
81,2320,368,18-08-2023,537.78,Sri Dhaba Pure Veg
82,38,257,11-01-2023,1326.03,Sri Kitchen Family Restaurant
83,1149,347,03-09-2023,961.02,Amma Delights Chinese
84,2879,196,29-12-2023,488.53,Hotel Curry House Chinese
85,2917,201,12-11-2023,1102.52,Spice Cafe Pure Veg
86,2563,423,28-10-2023,1018.04,Royal Tiffins Multicuisine
87,1750,385,14-04-2023,1103.42,Ruchi Mess Multicuisine
88,58,320,01-06-2023,196.11,Hotel Cafe Multicuisine
89,1619,158,20-06-2023,619.05,Hotel Biryani Pure Veg
90,2760,320,16-01-2023,264.05,Hotel Cafe Multicuisine
91,2309,476,07-07-2023,391.36,Royal Curry House Multicuisine
92,81,200,07-01-2023,870.09,Annapurna Restaurant Pure Veg
93,2874,1,22-01-2023,441.18,Royal Kitchen Family Restaurant
94,587,176,10-12-2023,285.28,Classic Delights North Indian
95,570,280,20-02-2023,795.58,Taste of Dhaba Andhra
96,1048,157,17-09-2023,711.84,Sai Restaurant Family Restaurant
97,614,335,18-09-2023,190.14,New Biryani Family Restaurant
98,1135,161,05-12-2023,1225.83,Annapurna Biryani South Indian
99,549,11,25-11-2023,146.68,Taste of Kitchen Family Restaurant
100,2811,484,15-12-2023,632.94,Taste of Biryani Punjabi
101,1337,96,24-09-2023,852.59,Annapurna Biryani Non-Veg
102,991,482,07-03-2023,913.83,Classic Tiffins Pure Veg
103,1922,492,11-04-2023,1017.18,Swagath Kitchen North Indian
104,1115,379,03-10-2023,1191.17,New Dhaba South Indian
105,804,407,01-06-2023,109.14,Grand Cafe Chinese
106,2873,68,18-11-2023,1352.79,Taste of Biryani Andhra
107,1118,388,05-03-2023,1037.09,Spice Cafe South Indian
108,1493,5,16-04-2023,1375.29,Udupi Foods South Indian
109,532,432,27-05-2023,1461.82,Hotel Eatery Pure Veg
110,1350,220,04-06-2023,932.09,Spice Kitchen North Indian
111,1416,66,30-03-2023,1346.23,Swagath Dhaba Punjabi
112,2446,447,15-11-2023,149.76,Amma Biryani South Indian
113,2265,28,13-04-2023,475.81,Swagath Delights Multicuisine
114,142,390,29-07-2023,842.42,Grand Restaurant Pure Veg
115,827,184,17-02-2023,367.72,Annapurna Tiffins Punjabi
116,2476,319,12-03-2023,296.82,Darbar Eatery Family Restaurant
117,1449,328,07-05-2023,1485.31,Ruchi Curry House Andhra
118,1209,209,22-07-2023,880.41,Royal Tiffins Family Restaurant
119,1741,257,18-09-2023,1008.64,Sri Kitchen Family Restaurant
120,1385,379,06-08-2023,1146.39,New Dhaba South Indian
121,383,438,31-07-2023,930.64,Grand Biryani Pure Veg
122,2661,376,01-08-2023,769.46,Amma Cafe Non-Veg
123,2440,73,17-12-2023,1492.73,Spice Mess Andhra
124,257,102,07-06-2023,996.95,Darbar Foods Andhra
125,1649,14,09-10-2023,1345.86,Taste of Tiffins North Indian
126,970,122,29-09-2023,320.68,Amma Eatery Non-Veg
127,2913,309,04-01-2023,1251.4,Ruchi Curry House Multicuisine
128,42,152,10-06-2023,379.57,Hotel Curry House Punjabi
129,1227,46,28-11-2023,158.62,Udupi Delights Family Restaurant
130,1128,418,05-09-2023,710.77,Annapurna Foods Multicuisine
131,2850,389,10-08-2023,1406.07,Ruchi Mess Multicuisine
132,778,302,03-03-2023,198.22,Spice Curry House Andhra
133,2384,165,29-03-2023,872.28,Udupi Kitchen Chinese
134,45,220,24-03-2023,775.17,Spice Kitchen North Indian
135,912,483,09-11-2023,365.07,Darbar Restaurant Family Restaurant
136,2643,175,16-02-2023,968.84,Sai Biryani Non-Veg
137,1603,20,27-05-2023,1401.56,Hotel Cafe Punjabi
138,880,384,09-05-2023,1140.38,Annapurna Biryani Andhra
139,1639,19,20-04-2023,1446.43,Classic Biryani Chinese
140,765,381,13-03-2023,1381.41,New Delights North Indian
141,1831,384,12-11-2023,1129.47,Annapurna Biryani Andhra
142,1860,112,07-02-2023,1331.64,Grand Cafe Punjabi
143,1729,259,22-11-2023,158.75,Amma Curry House Family Restaurant
144,2519,452,16-04-2023,247.03,Classic Delights Multicuisine
145,1243,11,17-09-2023,365.51,Taste of Kitchen Family Restaurant
146,93,2,20-04-2023,1250.74,Royal Delights South Indian
147,1821,268,27-05-2023,172.91,Annapurna Biryani Multicuisine
148,1975,73,06-02-2023,607.82,Spice Mess Andhra
149,2337,345,24-06-2023,932.79,Sai Tiffins Chinese
150,2136,486,01-03-2023,1402.24,Udupi Mess Andhra
151,863,474,07-12-2023,1148.35,Annapurna Tiffins Pure Veg
152,2115,176,29-09-2023,112.31,Classic Delights North Indian
153,2832,34,16-02-2023,641.49,Ruchi Dhaba Multicuisine
154,623,244,28-05-2023,221.42,Amma Tiffins South Indian
155,2523,90,12-03-2023,484.27,Classic Biryani Pure Veg
156,282,179,02-08-2023,1373.33,Annapurna Foods Multicuisine
157,436,120,26-05-2023,439.11,Classic Biryani Multicuisine
158,2732,182,16-01-2023,439.9,Annapurna Restaurant Andhra
159,2152,357,04-01-2023,1070.88,Grand Mess Punjabi
160,1291,381,30-03-2023,139.67,New Delights North Indian
161,354,319,29-09-2023,175.84,Darbar Eatery Family Restaurant
162,939,208,06-11-2023,763.73,New Curry House South Indian
163,2852,86,26-12-2023,190.64,Sri Curry House Chinese
164,2241,104,08-08-2023,411.65,Grand Dhaba South Indian
165,1982,325,12-05-2023,761.84,Sri Cafe North Indian
166,1583,169,06-10-2023,456.5,Ruchi Curry House Pure Veg
167,1644,483,11-10-2023,427.18,Darbar Restaurant Family Restaurant
168,1437,135,15-06-2023,1357.22,Amma Eatery Non-Veg
169,2475,320,07-04-2023,1013.3,Hotel Cafe Multicuisine
170,2134,290,09-03-2023,1352.94,Taste of Kitchen Chinese
171,968,319,15-07-2023,1102.1,Darbar Eatery Family Restaurant
172,1953,332,22-01-2023,1307.06,Classic Delights Family Restaurant
173,1352,109,18-06-2023,164.31,Swagath Delights South Indian
174,740,371,11-12-2023,1161.71,Sai Dhaba Family Restaurant
175,238,379,27-10-2023,1482.75,New Dhaba South Indian
176,2544,171,17-12-2023,552.39,Ruchi Mess Non-Veg
177,2271,117,15-05-2023,1088.98,Darbar Eatery North Indian
178,424,375,14-05-2023,1402.18,Hotel Delights Multicuisine
179,1437,91,07-09-2023,703.69,Annapurna Mess Non-Veg
180,816,399,19-05-2023,1289.82,Swagath Cafe Multicuisine
181,1090,136,20-04-2023,1437.19,Hotel Cafe South Indian
182,131,123,09-02-2023,1470.97,Grand Restaurant Non-Veg
183,724,489,26-06-2023,561.65,Swagath Foods Punjabi
184,1945,391,09-03-2023,518.58,Sri Biryani Family Restaurant
185,1722,54,13-08-2023,105.4,Ruchi Tiffins Multicuisine
186,2704,285,31-05-2023,1028.25,Ruchi Eatery North Indian
187,2805,116,22-06-2023,803.92,Grand Cafe Punjabi
188,2666,277,30-06-2023,558.85,Swagath Restaurant North Indian
189,574,442,02-09-2023,805.04,Sai Eatery Andhra
190,1542,237,13-03-2023,501.58,Grand Restaurant South Indian
191,2482,116,05-05-2023,1340.73,Grand Cafe Punjabi
192,345,76,24-04-2023,862.55,Amma Kitchen Punjabi
193,2405,126,20-01-2023,261.66,Spice Tiffins North Indian
194,914,183,17-07-2023,401.42,Taste of Biryani Non-Veg
195,1258,58,12-02-2023,1179.75,Sai Biryani Multicuisine
196,789,254,25-07-2023,967.6,Ruchi Dhaba Chinese
197,996,58,03-03-2023,619.68,Sai Biryani Multicuisine
198,767,243,05-04-2023,1389.57,Grand Tiffins South Indian
199,2543,94,06-10-2023,844.75,Taste of Eatery Andhra
200,2619,263,08-02-2023,258.38,Grand Curry House Andhra
201,1782,49,20-05-2023,375.74,Amma Curry House Punjabi
202,1347,43,25-02-2023,1169.6,Sai Cafe North Indian
203,482,376,30-01-2023,986.26,Amma Cafe Non-Veg
204,2094,364,23-10-2023,1164.27,Sri Foods Non-Veg
205,1380,54,25-12-2023,121.12,Ruchi Tiffins Multicuisine
206,253,308,17-12-2023,200.98,Annapurna Biryani Family Restaurant
207,2453,218,23-02-2023,1441.98,Sai Foods Pure Veg
208,1642,352,02-03-2023,1250.84,Hotel Kitchen Multicuisine
209,761,232,01-02-2023,353.88,New Dhaba Family Restaurant
210,1816,458,02-05-2023,169.2,Swagath Mess Pure Veg
211,1209,437,26-12-2023,484.58,Swagath Tiffins Chinese
212,2339,20,10-11-2023,390.16,Hotel Cafe Punjabi
213,2626,374,24-05-2023,701.52,Annapurna Curry House Multicuisine
214,66,365,29-12-2023,1229.36,Udupi Kitchen Multicuisine
215,1087,446,24-07-2023,334.56,Annapurna Cafe Andhra
216,105,106,08-04-2023,455.32,Spice Foods Non-Veg
217,1846,376,20-02-2023,538.3,Amma Cafe Non-Veg
218,327,138,14-03-2023,825.18,Classic Mess Punjabi
219,430,125,03-02-2023,883.67,Sai Foods Family Restaurant
220,1154,132,17-12-2023,394.85,Spice Tiffins Chinese
221,2922,338,17-04-2023,616.19,Grand Kitchen Non-Veg
222,1884,459,18-05-2023,572.97,Sai Delights Non-Veg
223,1118,407,10-04-2023,1477.26,Grand Cafe Chinese
224,370,277,14-04-2023,1130.13,Swagath Restaurant North Indian
225,2992,47,28-07-2023,491.77,Ruchi Cafe Punjabi
226,2341,100,25-03-2023,307.03,Spice Delights Family Restaurant
227,77,466,01-03-2023,361.97,Sai Cafe South Indian
228,2302,196,06-02-2023,618.25,Hotel Curry House Chinese
229,760,351,13-12-2023,672.94,Spice Dhaba Non-Veg
230,2064,186,24-01-2023,1406.25,Darbar Restaurant North Indian
231,399,280,09-01-2023,272.23,Taste of Dhaba Andhra
232,196,419,11-03-2023,744.13,Darbar Delights Andhra
233,2278,492,23-08-2023,661.75,Swagath Kitchen North Indian
234,2342,62,08-02-2023,724.11,Spice Delights Andhra
235,629,2,23-06-2023,144.79,Royal Delights South Indian
236,1298,349,15-05-2023,735.33,Taste of Eatery Punjabi
237,991,329,02-09-2023,379.94,Spice Tiffins Pure Veg
238,1695,140,30-09-2023,745.99,Royal Tiffins Punjabi
239,2165,272,28-12-2023,572.94,New Dhaba Pure Veg
240,1879,97,20-12-2023,1296.96,Annapurna Delights Andhra
241,2067,438,19-09-2023,1339.09,Grand Biryani Pure Veg
242,2160,198,16-03-2023,809.35,Annapurna Tiffins North Indian
243,690,17,19-09-2023,1139.5,Udupi Delights Non-Veg
244,323,55,10-07-2023,506.36,Darbar Restaurant Multicuisine
245,1067,470,07-04-2023,793.48,Darbar Foods Multicuisine
246,2438,339,09-08-2023,212.5,Annapurna Eatery South Indian
247,170,315,25-06-2023,662.32,Swagath Curry House Chinese
248,958,6,02-10-2023,931.29,Ruchi Restaurant South Indian
249,478,438,30-09-2023,238.03,Grand Biryani Pure Veg
250,2143,406,05-06-2023,1067,Spice Foods Non-Veg
251,2575,250,10-02-2023,248.07,Sai Foods Non-Veg
252,677,396,25-03-2023,1032.04,Taste of Delights Non-Veg
253,344,316,15-10-2023,1117.08,Darbar Tiffins Andhra
254,2588,270,15-04-2023,793.84,Taste of Biryani North Indian
255,2125,279,10-12-2023,655.05,Sri Tiffins Andhra
256,1220,205,14-05-2023,212.44,Sri Mess North Indian
257,943,396,17-06-2023,965.63,Taste of Delights Non-Veg
258,968,481,27-06-2023,1159.83,Sai Restaurant Non-Veg
259,775,315,06-12-2023,1152.68,Swagath Curry House Chinese
260,2482,70,10-08-2023,314.23,Swagath Delights Punjabi
261,1680,187,25-02-2023,369.43,Royal Kitchen North Indian
262,1130,188,17-04-2023,256.62,Swagath Mess Multicuisine
263,1026,247,15-06-2023,335.79,Hotel Mess Punjabi
264,597,106,28-07-2023,141.92,Spice Foods Non-Veg
265,803,152,28-08-2023,1424.31,Hotel Curry House Punjabi
266,2519,60,26-05-2023,523.34,Grand Restaurant North Indian
267,956,357,15-05-2023,980,Grand Mess Punjabi
268,1484,496,28-01-2023,403.36,Swagath Eatery Multicuisine
269,1691,339,20-07-2023,1300.3,Annapurna Eatery South Indian
270,427,332,09-10-2023,1198.77,Classic Delights Family Restaurant
271,565,284,29-01-2023,798.3,Ruchi Foods Multicuisine
272,1489,331,27-06-2023,1120.81,Spice Biryani Non-Veg
273,2316,135,14-04-2023,527.2,Amma Eatery Non-Veg
274,679,170,11-06-2023,803.59,Spice Tiffins Family Restaurant
275,1754,256,18-03-2023,301.25,Sri Curry House Andhra
276,2191,125,28-11-2023,269.2,Sai Foods Family Restaurant
277,2403,282,25-09-2023,205.98,Hotel Curry House Chinese
278,2124,343,21-12-2023,1388.57,Sai Cafe Andhra
279,1505,493,01-12-2023,916.46,Darbar Restaurant Multicuisine
280,443,263,05-05-2023,1032.33,Grand Curry House Andhra
281,349,271,13-05-2023,850.33,Hotel Curry House North Indian
282,2071,224,05-12-2023,742.69,Darbar Kitchen Non-Veg
283,55,175,26-10-2023,1434.2,Sai Biryani Non-Veg
284,1174,366,18-03-2023,951.22,Swagath Mess Chinese
285,764,365,24-03-2023,571.04,Udupi Kitchen Multicuisine
286,1446,81,08-08-2023,711.18,Darbar Mess Chinese
287,4,449,26-09-2023,1010.1,Sai Restaurant South Indian
288,2098,442,22-07-2023,560.28,Sai Eatery Andhra
289,186,163,04-01-2023,219.4,Spice Delights Multicuisine
290,1213,163,15-08-2023,258.46,Spice Delights Multicuisine
291,936,147,10-01-2023,534.05,Amma Cafe South Indian
292,2160,200,08-08-2023,248.1,Annapurna Restaurant Pure Veg
293,1646,119,02-10-2023,1190.26,Spice Restaurant Non-Veg
294,537,483,23-07-2023,549.97,Darbar Restaurant Family Restaurant
295,595,206,09-03-2023,391.4,Swagath Biryani Non-Veg
296,2928,147,15-01-2023,1035.36,Amma Cafe South Indian
297,2594,301,11-11-2023,300.6,Classic Tiffins North Indian
298,1305,85,31-05-2023,824.92,Royal Kitchen South Indian
299,1628,197,06-03-2023,504.65,Sri Curry House North Indian
300,2694,204,25-02-2023,1307.89,Udupi Dhaba Non-Veg
301,1164,202,01-05-2023,1020.89,Swagath Foods Chinese
302,2118,234,21-02-2023,690.95,Swagath Kitchen North Indian
303,1395,111,16-03-2023,121.39,Ruchi Dhaba Chinese
304,2401,432,05-02-2023,993.25,Hotel Eatery Pure Veg
305,1262,329,12-09-2023,1462.67,Spice Tiffins Pure Veg
306,2233,18,28-08-2023,772.47,Annapurna Kitchen Family Restaurant
307,1150,497,18-10-2023,345.66,Hotel Delights South Indian
308,757,438,22-05-2023,1204.97,Grand Biryani Pure Veg
309,1344,76,30-10-2023,1494,Amma Kitchen Punjabi
310,1402,113,22-11-2023,365.5,Darbar Biryani Pure Veg
311,832,103,13-01-2023,919.29,Darbar Restaurant North Indian
312,1921,242,08-11-2023,1026.01,Classic Dhaba Punjabi
313,2183,333,04-02-2023,348.63,Amma Mess Multicuisine
314,2177,410,25-07-2023,865.98,Darbar Mess Pure Veg
315,2474,32,28-02-2023,245.73,Udupi Eatery North Indian
316,2280,251,25-07-2023,319.08,Grand Curry House Andhra
317,322,143,31-10-2023,262.36,Classic Cafe Punjabi
318,1739,303,04-10-2023,1443.73,Swagath Foods Andhra
319,694,83,12-12-2023,420.56,Darbar Mess Pure Veg
320,2555,262,02-05-2023,1431.39,Hotel Cafe Punjabi
321,2023,134,11-12-2023,1239.1,New Tiffins Non-Veg
322,1690,208,04-04-2023,765.9,New Curry House South Indian
323,2084,168,04-10-2023,548.43,Ruchi Foods Family Restaurant
324,2742,163,07-03-2023,968.8,Spice Delights Multicuisine
325,223,39,28-03-2023,817.89,Ruchi Delights South Indian
326,48,279,09-10-2023,1039.9,Sri Tiffins Andhra
327,413,171,20-09-2023,396.63,Ruchi Mess Non-Veg
328,1019,254,30-12-2023,1425.43,Ruchi Dhaba Chinese
329,1573,17,15-03-2023,654.51,Udupi Delights Non-Veg
330,1588,194,30-07-2023,1415.25,New Dhaba Family Restaurant
331,1679,6,08-11-2023,1058.26,Ruchi Restaurant South Indian
332,870,320,16-12-2023,816.47,Hotel Cafe Multicuisine
333,2271,208,29-05-2023,1063.14,New Curry House South Indian
334,1496,33,01-01-2024,419.28,Amma Foods Non-Veg
335,1134,46,10-08-2023,561.81,Udupi Delights Family Restaurant
336,2122,356,14-12-2023,1422.53,Hotel Foods Multicuisine
337,1155,397,10-12-2023,979.78,Amma Foods Family Restaurant
338,2534,38,21-06-2023,837.74,Grand Tiffins Multicuisine
339,1739,436,21-12-2023,1356.85,Swagath Tiffins Punjabi
340,1339,396,27-08-2023,793.05,Taste of Delights Non-Veg
341,114,91,25-03-2023,1373.68,Annapurna Mess Non-Veg
342,1526,464,13-07-2023,919.8,Ruchi Cafe Multicuisine
343,1080,111,31-07-2023,960.54,Ruchi Dhaba Chinese
344,321,315,10-12-2023,746.18,Swagath Curry House Chinese
345,1474,277,22-09-2023,608.15,Swagath Restaurant North Indian
346,2868,383,29-04-2023,938.52,Amma Biryani North Indian
347,1485,430,28-08-2023,999.35,Royal Delights South Indian
348,308,419,10-09-2023,549.31,Darbar Delights Andhra
349,1883,62,16-02-2023,514.27,Spice Delights Andhra
350,1730,112,03-02-2023,840.19,Grand Cafe Punjabi
351,2755,218,09-07-2023,1387.05,Sai Foods Pure Veg
352,1897,96,21-03-2023,1043.46,Annapurna Biryani Non-Veg
353,1105,188,31-10-2023,1123.59,Swagath Mess Multicuisine
354,372,391,15-01-2023,642.58,Sri Biryani Family Restaurant
355,1226,333,12-05-2023,339.08,Amma Mess Multicuisine
356,2465,67,06-11-2023,1234.61,Swagath Tiffins Andhra
357,2184,270,29-04-2023,1103.89,Taste of Biryani North Indian
358,312,169,02-03-2023,705.35,Ruchi Curry House Pure Veg
359,2016,23,19-01-2023,260.34,Amma Mess Punjabi
360,98,242,27-01-2023,792.09,Classic Dhaba Punjabi
361,1424,403,23-09-2023,1174.93,Sai Delights Pure Veg
362,2004,16,09-12-2023,194.31,Sai Mess Andhra
363,2586,484,29-03-2023,1200.79,Taste of Biryani Punjabi
364,1746,174,28-03-2023,313.78,Amma Biryani North Indian
365,2567,119,15-05-2023,816.48,Spice Restaurant Non-Veg
366,959,187,11-03-2023,1128.66,Royal Kitchen North Indian
367,128,14,22-10-2023,261.53,Taste of Tiffins North Indian
368,1804,188,17-02-2023,1120.32,Swagath Mess Multicuisine
369,1665,283,07-12-2023,486.28,Grand Kitchen Punjabi
370,1666,430,17-10-2023,557.92,Royal Delights South Indian
371,475,153,17-09-2023,1430.39,Annapurna Mess Andhra
372,2101,281,28-08-2023,133.81,Swagath Cafe Non-Veg
373,1301,177,29-08-2023,1489.28,Udupi Restaurant South Indian
374,2642,401,07-06-2023,161.54,Darbar Eatery Pure Veg
375,2873,153,20-02-2023,469.24,Annapurna Mess Andhra
376,496,432,30-01-2023,462.68,Hotel Eatery Pure Veg
377,2089,398,02-11-2023,213.1,Royal Tiffins Pure Veg
378,2757,272,26-11-2023,838.49,New Dhaba Pure Veg
379,1538,323,19-06-2023,1211.23,Taste of Mess Chinese
380,2143,240,04-11-2023,908.79,New Mess Andhra
381,1431,217,06-05-2023,1298.31,Royal Eatery Family Restaurant
382,1535,367,25-03-2023,594.54,Ruchi Restaurant Punjabi
383,2449,347,19-09-2023,1122.1,Amma Delights Chinese
384,223,104,26-08-2023,992.15,Grand Dhaba South Indian
385,2,121,04-03-2023,1082.71,Sri Delights Non-Veg
386,2292,270,16-04-2023,970.25,Taste of Biryani North Indian
387,20,417,30-01-2023,1071.08,Hotel Biryani North Indian
388,2829,131,25-11-2023,1023.3,Hotel Restaurant Non-Veg
389,1893,288,18-03-2023,893.16,Swagath Restaurant North Indian
390,2022,327,13-02-2023,640.58,Royal Tiffins Chinese
391,1078,132,12-10-2023,700.55,Spice Tiffins Chinese
392,2907,488,28-09-2023,168.72,New Biryani North Indian
393,188,452,01-02-2023,107.8,Classic Delights Multicuisine
394,918,344,22-06-2023,1282.13,Annapurna Kitchen North Indian
395,1797,45,01-06-2023,315.02,Annapurna Restaurant Punjabi
396,315,438,03-09-2023,372.82,Grand Biryani Pure Veg
397,2316,156,17-05-2023,114.64,Sri Tiffins North Indian
398,96,263,20-07-2023,904.25,Grand Curry House Andhra
399,834,45,28-12-2023,583.52,Annapurna Restaurant Punjabi
400,2690,27,28-02-2023,101.01,Darbar Dhaba Pure Veg
401,1832,359,04-04-2023,996.34,Sri Foods South Indian
402,197,59,09-12-2023,1341.11,Sai Biryani Non-Veg
403,1042,338,31-10-2023,1158.77,Grand Kitchen Non-Veg
404,1232,94,23-02-2023,669.78,Taste of Eatery Andhra
405,95,330,17-04-2023,1302.45,Udupi Eatery Multicuisine
406,1675,478,27-12-2023,869.66,New Tiffins Pure Veg
407,1654,428,17-11-2023,482.4,Annapurna Foods Punjabi
408,2849,227,14-09-2023,787.55,Udupi Curry House Chinese
409,1759,117,05-05-2023,1042.16,Darbar Eatery North Indian
410,19,164,23-01-2023,286.19,Udupi Mess Family Restaurant
411,1350,101,18-08-2023,816.92,Sai Kitchen South Indian
412,653,126,20-10-2023,464.14,Spice Tiffins North Indian
413,137,259,15-01-2023,1311.66,Amma Curry House Family Restaurant
414,2338,429,22-10-2023,1259.75,Annapurna Biryani Pure Veg
415,2535,448,07-11-2023,255.1,Amma Biryani Family Restaurant
416,1283,481,13-06-2023,1104.78,Sai Restaurant Non-Veg
417,1933,251,01-01-2023,505.51,Grand Curry House Andhra
418,1369,72,11-05-2023,738.19,Sri Foods Chinese
419,1246,341,25-11-2023,391.1,Amma Biryani Family Restaurant
420,1672,378,20-12-2023,243.27,New Mess North Indian
421,1408,403,08-05-2023,530.89,Sai Delights Pure Veg
422,468,389,01-08-2023,985.99,Ruchi Mess Multicuisine
423,1530,319,03-06-2023,696.34,Darbar Eatery Family Restaurant
424,1257,197,04-08-2023,701.69,Sri Curry House North Indian
425,1453,244,13-03-2023,1034.45,Amma Tiffins South Indian
426,1607,12,24-11-2023,448.47,Royal Foods Multicuisine
427,153,257,29-01-2023,473.73,Sri Kitchen Family Restaurant
428,635,104,02-04-2023,122.37,Grand Dhaba South Indian
429,1033,65,10-06-2023,419.07,Grand Eatery Non-Veg
430,1135,130,15-11-2023,416.19,Royal Restaurant South Indian
431,1024,464,15-06-2023,1292.09,Ruchi Cafe Multicuisine
432,1089,484,20-04-2023,1264.35,Taste of Biryani Punjabi
433,2400,425,27-02-2023,1000.18,Ruchi Curry House Punjabi
434,2355,265,30-09-2023,1346.12,Udupi Curry House Andhra
435,1311,417,09-08-2023,806.75,Hotel Biryani North Indian
436,1771,389,08-03-2023,1107.25,Ruchi Mess Multicuisine
437,1847,363,13-11-2023,1442.45,Annapurna Mess Pure Veg
438,700,8,02-03-2023,842.29,New Mess Punjabi
439,2568,194,19-10-2023,1479.4,New Dhaba Family Restaurant
